Sample.ID,Tile,Nubbin.Tank.ID,Colony.No,Colony.ID,Nutrient.Level
G021_S1,G021,G021_Poc2_CH_L0.06,2,Poc2,Nut0
G023_S8,G023,G023_Poc2_CH_L1.07,2,Poc2,Nut1
G024_S22,G024,G024_Poc2_CH_L3.08,2,Poc2,Nut3
G028_S29,G028,G028_Poc2_CH_L4.10,2,Poc2,Nut4
G029_S15,G029,G029_Poc2_CH_L2.09,2,Poc2,Nut2
G041_S9,G041,G041_Poc3_CH_L1.07,3,Poc3,Nut1
G048_S2,G048,G048_Poc3_CH_L0.06,3,Poc3,Nut0
G053_S16,G053,G053_Poc3_CH_L2.09,3,Poc3,Nut2
G056_S23,G056,G056_Poc3_CH_L3.08,3,Poc3,Nut3
G060_S30,G060,G060_Poc3_CH_L4.10,3,Poc3,Nut4
G066_S10,G066,G066_Poc4_CH_L1.07,4,Poc4,Nut1
G068_S3,G068,G068_Poc4_CH_L0.06,4,Poc4,Nut0
G075_S35,G075,G075_Poc4_CH_L4.15,4,Poc4,Nut4
G077_S24,G077,G077_Poc4_CH_L3.08,4,Poc4,Nut3
G079_S17,G079,G079_Poc4_CH_L2.09,4,Poc4,Nut2
G085_S33,G085,G085_Poc5_CH_L4.15,5,Poc5,Nut4
G088_S4,G088,G088_Poc5_CH_L0.01,5,Poc5,Nut0
G091_S11,G091,G091_Poc5_CH_L1.07,5,Poc5,Nut1
G094_S25,G094,G094_Poc5_CH_L3.03,5,Poc5,Nut3
G096_S21,G096,G096_Poc5_CH_L2.04,5,Poc5,Nut2
R003_S26,R003,R003_Poc6_CH_L3.08,6,Poc6,Nut3
R004_S12,R004,R004_Poc6_CH_L1.07,6,Poc6,Nut1
R009_S19,R009,R009_Poc6_CH_L2.04,6,Poc6,Nut2
R015_S32,R015,R015_Poc6_CH_L4.15,6,Poc6,Nut4
R020_S5,R020,R020_Poc6_CH_L0.06,6,Poc6,Nut0
R021_S27,R021,R021_Poc7_CH_L3.08,7,Poc7,Nut3
R023_S6,R023,R023_Poc7_CH_L0.01,7,Poc7,Nut0
R025_S13,R025,R025_Poc7_CH_L1.07,7,Poc7,Nut1
R026_S34,R026,R026_Poc7_CH_L4.10,7,Poc7,Nut4
R038_S20,R038,R038_Poc7_CH_L2.09,7,Poc7,Nut2
R046_S31,R046,R046_Poc8_CH_L4.15,8,Poc8,Nut4
R048_S28,R048,R048_Poc8_CH_L3.08,8,Poc8,Nut3
R049_S14,R049,R049_Poc8_CH_L1.07,8,Poc8,Nut1
R059_S18,R059,R059_Poc8_CH_L2.04,8,Poc8,Nut2
R060_S7,R060,R060_Poc8_CH_L0.06,8,Poc8,Nut0